# arch  features    NA  NA
alpha   9831   19662  217455
arc   9755   19510  216182
arm  11088   22176  245941
arm64  10047   20094  223255
avr32   9924   19848  220428
blackfin  10843   21686  239764
c6x   9690   19380  214695
cris  10066   20132  225308
frv   9807   19614  217147
hexagon   9691   19382  214721
ia64  10031   20062  222558
m32r   9803   19606  216953
m68k   9898   19796  218294
metag   9767   19534  216517
microblaze   9749   19498  216036
mips  10491   20982  232989
mn10300   9865   19730  218815
nios2   9715   19430  215407
openrisc   9690   19380  214770
parisc   9815   19630  217189
powerpc  10474   20948  231430
s390   9881   19762  218849
score   9689   19378  214666
sh  10138   20276  224944
sparc   9931   19862  220184
tile   9806   19612  217203
unicore32   9897   19794  219531
x86  10335   20670  229242
xtensa   9829   19658  217758
